Stock Code,Stock Name
637,"LEE KEE"
638,"KIN YAT HOLD"
639,"SHOUGANG RES"
640,"INFINITY CHEM"
641,"CHTC FONG'S"
642,"PALADIN PREF"
643,"CARRY WEALTH"
645,"ARES ASIA"
646,"CHINA ENV TEC"
647,"JOYCE BOUTIQUE"
648,"CHINA RENJI"
650,"SHUN CHEONG"
651,"CHI O SHIPBLDG"
653,"BONJOUR HOLD"
655,"HK CHINESE LTD"
656,"FOSUN INTL"
657,"G-VISION INT'L"
658,"C TRANSMISSION"
659,"NWS HOLDINGS"
660,"WAI CHUN MINING"
661,"CDAYENONFER"
662,"ASIA FINANCIAL"
663,"KING STONE ENGY"
664,"SKYOCEAN W1603"
665,"HAITONG INT'L"
666,"SHK HK IND"
668,"DOWELL PPT"
669,"TECHTRONIC IND"
670,"CHINA EAST AIR"
672,"ZHONGAN REALEST"
673,"CHINA HEALTH"
674,"CULTURELANDMARK"
675,"K & P INT'L"
676,"PEGASUS INT'L"
677,"GOLDEN RES DEV"
678,"GENTING HK"
679,"ASIA TELE-NET"
680,"NAN HAI CORP"
681,"CHI PEOPLE HOLD"
682,"CHAODA MODERN"
683,"KERRY PPT"
684,"ALLAN INT'L"
685,"MEDIA CHINESE"
686,"UNITED PV"
687,"TYSAN HOLDINGS"
688,"CHINA OVERSEAS"
689,"EPI (HOLDINGS)"
690,"UNI-BIO GROUP"
691,"SHANSHUI CEMENT"
692,"CHINA HOUSEHOLD"
693,"TAN CHONG INT'L"
694,"BEIJING AIRPORT"
695,"DONGWU CEMENT"
696,"TRAVELSKY TECH"
697,"SHOUGANG INT'L"
698,"TONGDA GROUP"
699,"CAR INC"
700,"TENCENT"
701,"CNT GROUP"
702,"SINO OIL & GAS"
703,"FUTURE BRIGHT"
704,"HUSCOKE RES"
705,"DINGHE MINING"
706,"BEAUTI C HOLD"
707,"CO-PROSPERITY"
708,"NEW MEDIA"
709,"GIORDANO INT'L"
710,"VARITRONIX INTL"
711,"CHUN WO DEV"
712,"COMTEC SOLAR"
713,"WORLD HOUSEWARE"
715,"HUTCH HARB RING"
716,"SINGAMAS CONT"
717,"EMPEROR CAPITAL"
718,"BESTWAY INT'L"
719,"SHANDONG XINHUA"
720,"AUTO ITALIA"
721,"C FIN INT INV"
723,"SUSTAIN FOREST"
724,"SINO-TECH INT'L"
725,"PERENNIAL INT'L"
726,"SOUTH EAST GP"
727,"CROWNICORP"
728,"CHINA TELECOM"
729,"FDG EVEHICLES"
730,"SHOUGANG GRAND"
731,"SAMSON PAPER"
732,"TRULY INT'L"
733,"HOPEFLUENT"
735,"C P NEW ENERGY"
736,"CHINA PPT INV"
737,"HOPEWELL INFR"
738,"LE SAUNDA HOLD"
743,"ASIA CEMENT CH"
745,"CN CULTURE GP"
746,"L & M CHEMICAL"
747,"SHENYANG PUBLIC"
750,"SINGYES SOLAR"
